NomEntreprise,,,,,,,,total,,,,
,client_id,num_facture,date_facture,,,unit,test,60,taxe,total_net,checkSum,check run 
,25,410,12/31/2024,Material Purchase,"Pearls, Stainless Steel, pendants, etc.",1,200,80,2,18,6182015,7001026499
,25,411,12/31/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,90,4,72,4012015,31715
,25,412,12/31/2024,Stellar Necklace,Pendant necklace,2,40,40,1.8,81,4162015,5436035
,25,413,12/31/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,2,36,4162015,54356644
,25,414,12/31/2024,Van Cleef Earrings,Stainless Steel earrings,2,20,100,2,18,7302015,1293267
,25,415,12/31/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,60,2.5,90,8062015,73115
,25,416,12/31/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,3,54,3162017,1
,25,417,12/31/2024,Lilly Bracelet,Crystal bracelet,2,30,90,2,36,12062018,101718
,25,418,12/31/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,12062018,937570
,25,419,12/31/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,12062018,694560
,25,420,12/31/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,90,4,72,7152010,840
,25,421,12/31/2024,Stellar Necklace,Pendant necklace,2,40,,1.8,81,8052010,864
,,,,Serenity Necklace,Gold-plated chain necklace,5,18,,,,,
